frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,3.0,[752.2139282226562 1369.3121337890625 1429.306396484375 1984.0484619140625],[974.4611206054688 1768.669921875 1194.239990234375 1853.04638671875],0.5941417813301086,NA13NPU,0.22466477610606242
0,5.0,[2195.68017578125 1157.049072265625 2786.025390625 1736.6319580078125],[2422.919677734375 1559.484375 2572.29931640625 1633.60107421875],0.5582150220870972,NW51TSU,0.34835388576939946
1,3.0,[750.7361611137771 1374.2024759570897 1425.7283942006075 1991.5582482831967],[968.8494873046875 1773.3828125 1190.5455322265625 1856.1435546875],0.5973535776138306,NA13MRU,0.1796108949872436
3,5.0,[2196.2372782832813 1175.8811493041585 2788.1997702847334 1758.253081550407],[2416.69921875 1575.0118408203125 2582.260009765625 1651.5557861328125],0.543750524520874,ML51VSU,0.2579993349721314
4,5.0,[2190.989072050784 1176.1740909848154 2790.6104984748094 1763.8227498365113],[2418.57861328125 1576.758544921875 2581.12353515625 1650.700927734375],0.5871025323867798,NW51VSU,0.0652516225701482
5,3.0,[734.6443230181643 1397.6586203308293 1430.6789298601607 2030.8299012542266],[959.1536865234375 1807.6962890625 1186.7244873046875 1890.242431640625],0.5812435746192932,NA13NRU,0.29784929814692995
6,3.0,[728.0337575031097 1403.83480633411 1424.2459646774284 2040.4387440817568],[963.2340087890625 1818.9375 1165.388671875 1895.47119140625],0.5127829313278198,NA13NRU,0.26756586482367
8,3.0,[719.3434197221318 1413.5827939792998 1421.7870360577076 2058.188679931256],[959.7381591796875 1834.604736328125 1172.9027099609375 1907.7052001953125],0.5481569766998291,NA13NRU,0.41548948676147524
9,3.0,[710.608346164253 1419.0849493837231 1416.7056690959453 2066.5472349821644],[949.8286743164062 1836.8865966796875 1165.2093505859375 1923.15380859375],0.5784957408905029,NA13NRU,0.4208678175530638
10,3.0,[701.9183941441956 1423.5520287318166 1410.7906346373393 2073.1104536733965],[954.945556640625 1844.7322998046875 1127.0511474609375 1920.8807373046875],0.548496663570404,NA13NRI,0.1181439720657159
12,3.0,[693.6689187063696 1439.99922087655 1407.0168642439041 2092.1357205653876],[956.0769653320312 1869.71044921875 1144.6048583984375 1942.86474609375],0.5311470627784729,NA13NRU,0.26103234234787714
13,3.0,[691.5624778117378 1442.5360908699076 1406.7009578627637 2097.0175813748174],[951.2486572265625 1871.0086669921875 1147.3441162109375 1946.7901611328125],0.5429808497428894,NA13NRU,0.4039326432486834
14,3.0,[688.0376136360874 1449.704772056472 1402.958979369665 2104.74416339259],[956.4891357421875 1887.15234375 1141.365234375 1957.388671875],0.5519900918006897,MA13NRU,0.2015757318150289
15,5.0,[2199.2585301818663 1221.2814107649913 2821.1414735785247 1828.029113937613],[2429.974365234375 1644.195556640625 2594.7978515625 1715.5810546875],0.6082530617713928,NV51VSU,0.49353319377422245
15,3.0,[683.2487488055276 1458.2164735531394 1400.7607942534582 2112.3877397516294],[935.26904296875 1886.6661376953125 1157.4598388671875 1973.6943359375],0.5674313306808472,NA13NRU,0.2933693812874687
16,5.0,[2200.06399442003 1225.680458770577 2822.847504728721 1833.4892359096257],[2427.88330078125 1646.6348876953125 2596.5703125 1722.9656982421875],0.621796190738678,MW51VSU,0.13766908827110502
17,3.0,[674.2133998037159 1470.438295734535 1397.2895691068695 2125.7361144064816],[915.65185546875 1897.03125 1145.0054931640625 1981.3359375],0.541548490524292,NA13NRU,0.11387461881586017
18,3.0,[671.2372520464119 1482.4173998780932 1393.947252906437 2136.6763561549533],[915.6857299804688 1915.630126953125 1140.7706298828125 1994.087158203125],0.550531804561615,NA13NRU,0.6375034809057147
